Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
ord1,aa13,Rose,2,New,200,55,Accepted,2024.10.07-16.54.00.161
ord2,aa14,Rose,1,Fill,100,55,Accepted,2024.10.07-16.54.00.162
ord1,aa13,Rose,2,PFill,100,55,Accepted,2024.10.07-16.54.00.162
ord3,aa15,Rose,1,PFill,100,55,Accepted,2024.10.07-16.54.00.162
ord1,aa13,Rose,2,Fill,100,55,Accepted,2024.10.07-16.54.00.162
ord4,aa13,Tulip,2,New,200,55,Accepted,2024.10.07-16.54.00.162
ord5,aa14,Tulip,1,Fill,100,55,Accepted,2024.10.07-16.54.00.162
ord4,aa13,Tulip,2,PFill,100,55,Accepted,2024.10.07-16.54.00.162
ord6,aa15,Tulip,1,PFill,100,55,Accepted,2024.10.07-16.54.00.162
ord4,aa13,Tulip,2,Fill,100,55,Accepted,2024.10.07-16.54.00.162
ord7,aa13,Tulip,2,PFill,100,55,Accepted,2024.10.07-16.54.00.162
ord6,aa15,Tulip,1,Fill,100,55,Accepted,2024.10.07-16.54.00.162
ord8,aa14,Tulip,1,Fill,100,55,Accepted,2024.10.07-16.54.00.162
ord7,aa13,Tulip,2,Fill,100,55,Accepted,2024.10.07-16.54.00.162
ord9,aa15,Tulip,1,New,200,55,Accepted,2024.10.07-16.54.00.162
